leiden,proliferation_score,stemness_score,immune_score,prognostic_score,proliferation_score_scaled,stemness_score_scaled,immune_score_scaled,prognostic_score_scaled
0,-0.0892091045785881,-0.123345048016323,-0.0760053685836992,1.3949086439133025,0.06989561440135898,0.0,0.17907382180588646,0.5433688412315724
1,0.0807242161676721,0.0894944528495339,0.0804921140008047,0.179734742886091,0.2719149845001563,0.6581036779802986,0.5045340621166947,0.1443272752503699
2,-0.1361979809737763,0.0257016575620449,-0.1386616957606332,-0.2596228693317729,0.014034508590448892,0.46085517365402556,0.048770490638968655,5.0024515331018426e-05
3,0.3909768780419856,-0.0604129921017868,-0.0597261974677812,2.7600068371539934,0.6407481659390786,0.1945870822461691,0.21292882609061392,0.9916428868545102
4,0.0030540515983986,0.0202982144805791,0.0657214605426944,0.6889906538452045,0.17957948694824447,0.4441476275866673,0.4738162489951419,0.31155788810547425
5,0.0237678154167278,0.1290760644561966,0.3187367976250135,0.1227159675704079,0.20420433097870053,0.7804907540294469,1.0,0.12560332028962967
6,-0.0078182969372567,0.0244429799804471,-0.1353702973337749,0.0661497432426486,0.16665427020427637,0.45696331926388145,0.05561545264904759,0.10702797505030857
7,-0.0809036565370565,0.1196476864488673,-0.0746754349985016,-0.2597752055559262,0.07976925998405104,0.7513380346386859,0.18183962031642867,0.0
8,0.1273092130173933,0.0950399148838925,-0.0432030346245918,0.1481218212956628,0.3272959520367555,0.6752503492798692,0.24729124816175033,0.13394615224729864
9,0.0153847766256041,0.1218888888350799,0.0438104729404443,0.014571871152552,0.19423844430821444,0.7582678739188217,0.428249028534424,0.09009071625022065
10,-0.005852067633493,0.1113180618873464,-0.0002893108349363,0.16915854123323,0.16899175412839298,0.7255826812487771,0.336536842573605,0.14085423812694
11,-0.0178308924021943,0.2000682802894164,-0.0109515531733637,-0.0872574021288589,0.1547511412593588,1.0,0.31436309321733097,0.0566517881769686
12,-0.0513864272096822,-0.1026735844323866,-0.058647131788833,0.8878978075183188,0.11485980049483037,0.06391654818998244,0.2151729067581224,0.3768754710616982
13,-0.0073012569829426,-0.0645587771484935,-0.0475876985560888,2.785456180400629,0.16726893532956047,0.18176823811124995,0.23817267479392254,1.0
14,0.6931699653499055,-0.0247971407507035,-0.0173762731523888,-0.0513616579152272,1.0,0.3047119541482132,0.30100191402280885,0.06843931420181164
15,-0.1480034363053643,0.1509823978459272,-0.1621129751000722,-0.0919612258323009,0.0,0.848225542525923,0.0,0.055107135864131476
16,0.0094215398195687,-0.0647741395923695,-0.068879540737414,2.454645201082553,0.18714925580760222,0.18110233344676316,0.19389306109948434,0.8913675391486998
17,-0.0352026833585411,-0.0739484872785803,0.0792879443966491,2.7702415126001667,0.1340992864549125,0.15273508051296378,0.5020298088707562,0.9950037728263847
