leiden,proliferation_score,stemness_score,immune_score,prognostic_score
0,-0.08920910457858815,-0.12334504801632301,-0.07600536858369925,1.3949086439133025
1,0.08072421616767213,0.08949445284953399,0.08049211400080475,0.17973474288609104
2,-0.13619798097377636,0.02570165756204498,-0.13866169576063328,-0.2596228693317729
3,0.3909768780419856,-0.06041299210178681,-0.059726197467781204,2.7600068371539934
4,0.0030540515983986743,0.020298214480579148,0.06572146054269448,0.6889906538452045
5,0.023767815416727848,0.12907606445619665,0.31873679762501356,0.12271596757040792
6,-0.007818296937256731,0.02444297998044711,-0.1353702973337749,0.06614974324264865
7,-0.08090365653705654,0.11964768644886738,-0.07467543499850166,-0.2597752055559262
8,0.1273092130173933,0.09503991488389253,-0.04320303462459187,0.14812182129566281
9,0.015384776625604116,0.12188888883507998,0.04381047294044439,0.014571871152552072
10,-0.005852067633493056,0.11131806188734646,-0.0002893108349363127,0.16915854123323007
11,-0.01783089240219439,0.20006828028941648,-0.010951553173363741,-0.08725740212885892
12,-0.05138642720968227,-0.10267358443238664,-0.05864713178883307,0.8878978075183188
13,-0.0073012569829426525,-0.06455877714849353,-0.04758769855608884,2.7854561804006295
14,0.6931699653499055,-0.024797140750703568,-0.01737627315238884,-0.051361657915227274
15,-0.14800343630536433,0.15098239784592724,-0.16211297510007228,-0.0919612258323009
16,0.00942153981956877,-0.06477413959236954,-0.06887954073741404,2.454645201082553
17,-0.03520268335854119,-0.07394848727858036,0.07928794439664914,2.7702415126001667
